"date","CHPI"
"2012-01-06","             164,037"
"2012-01-13","             164,225"
"2012-01-20","             164,525"
"2012-01-27","             164,810"
"2012-02-03","             164,998"
"2012-02-10","             165,823"
"2012-02-17","             162,668"
"2012-02-24","             162,713"
"2012-03-02","             162,642"
"2012-03-09","             163,177"
"2012-03-16","             163,635"
"2012-03-23","             164,526"
"2012-03-30","             164,817"
"2012-04-06","             165,551"
"2012-04-13","             165,850"
"2012-04-20","             166,820"
"2012-04-27","             167,574"
"2012-05-04","             168,071"
"2012-05-11","             169,529"
"2012-05-18","             170,324"
"2012-05-25","             171,840"
"2012-06-01","             171,415"
"2012-06-08","             171,113"
"2012-06-15","             171,444"
"2012-06-22","             171,014"
"2012-06-29","             170,964"
"2012-07-06","             170,650"
"2012-07-13","             169,262"
"2012-07-20","             166,509"
"2012-07-27","             161,091"
"2012-08-03","             162,690"
"2012-08-10","             162,768"
"2012-08-17","             162,671"
"2012-08-24","             162,616"
"2012-08-31","             162,190"
"2012-09-07","             162,795"
"2012-09-14","             163,003"
"2012-09-21","             163,480"
"2012-09-28","             163,554"
"2012-10-05","             163,679"
"2012-10-12","             162,675"
"2012-10-19","             162,192"
"2012-10-26","             162,150"
"2012-11-02","             160,132"
"2012-11-09","             161,158"
"2012-11-16","             160,796"
"2012-11-23","             160,526"
"2012-11-30","             160,057"
"2012-12-07","             159,794"
"2012-12-14","             159,390"
"2012-12-21","             159,214"
"2012-12-28","             157,000"
"2013-01-04","             156,845"
"2013-01-11","             156,893"
"2013-01-18","             156,579"
"2013-01-25","             156,749"
"2013-02-01","             157,051"
"2013-02-08","             157,591"
"2013-02-15","             158,599"
"2013-02-22","             159,695"
"2013-03-01","             160,297"
"2013-03-08","             161,657"
"2013-03-15","             161,750"
"2013-03-22","             162,856"
"2013-03-29","             163,546"
"2013-04-05","             164,867"
"2013-04-12","             164,810"
"2013-04-19","             165,904"
"2013-04-26","             168,567"
"2013-05-03","             169,832"
"2013-05-10","             171,580"
"2013-05-17","             172,520"
"2013-05-24","             173,906"
"2013-05-31","             173,319"
"2013-06-07","             175,277"
"2013-06-14","             175,780"
"2013-06-21","             175,937"
"2013-06-28","             176,401"
"2013-07-05","             177,091"
"2013-07-12","             176,952"
"2013-07-19","             177,952"
"2013-07-26","             176,811"
"2013-08-02","             176,772"
"2013-08-09","             177,330"
"2013-08-16","             183,103"
"2013-08-23","             182,850"
"2013-08-30","             182,303"
"2013-09-06","             184,048"
