msa,msaname,date,CHPI
10740,"Albuquerque, NM",2010-01-22,176418.97
10900,"Allentown-Bethlehem-Easton, PA-NJ",2010-01-22,222349.56
11244,"Anaheim-Santa Ana-Irvine, CA",2010-01-22,497212.91
12420,"Austin-Round Rock, TX",2010-01-22,181291.84
12580,"Baltimore-Columbia-Towson, MD",2010-01-22,327280.25
14454,"Boston, MA",2010-01-22,384771.88
14860,"Bridgeport-Stamford-Norwalk, CT",2010-01-22,431685.84
15764,"Cambridge-Newton-Framingham, MA",2010-01-22,382243.88
15804,"Camden, NJ",2010-01-22,238557.17
15980,"Cape Coral-Fort Myers, FL",2010-01-22,146103.81
16700,"Charleston-North Charleston, SC",2010-01-22,206919.8
16740,"Charlotte-Concord-Gastonia, NC-SC",2010-01-22,143177.38
16974,"Chicago-Naperville-Arlington Heights, IL",2010-01-22,224943.94
17140,"Cincinnati, OH-KY-IN",2010-01-22,131153.47
17460,"Cleveland-Elyria, OH",2010-01-22,145692.52
17820,"Colorado Springs, CO",2010-01-22,182134.41
18140,"Columbus, OH",2010-01-22,144527.72
19124,"Dallas-Plano-Irving, TX",2010-01-22,132539.84
19740,"Denver-Aurora-Lakewood, CO",2010-01-22,219578.11
19804,"Detroit-Dearborn-Livonia, MI",2010-01-22,65530.254
22744,"Fort Lauderdale-Pompano Beach-Deerfield Beach, FL",2010-01-22,230576.53
23104,"Fort Worth-Arlington, TX",2010-01-22,118479.38
23844,"Gary, IN",2010-01-22,143584.17
25540,"Hartford-West Hartford-East Hartford, CT",2010-01-22,299406.13
26420,"Houston-The Woodlands-Sugar Land, TX",2010-01-22,147859.45
26900,"Indianapolis-Carmel-Anderson, IN",2010-01-22,119298.44
27260,"Jacksonville, FL",2010-01-22,178289.45
28140,"Kansas City, MO-KS",2010-01-22,116463.34
28940,"Knoxville, TN",2010-01-22,142924.58
29404,"Lake County-Kenosha County, IL-WI",2010-01-22,228489.13
29460,"Lakeland-Winter Haven, FL",2010-01-22,117624.76
29820,"Las Vegas-Henderson-Paradise, NV",2010-01-22,118321.52
31084,"Los Angeles-Long Beach-Glendale, CA",2010-01-22,375539.41
31140,"Louisville/Jefferson County, KY-IN",2010-01-22,139085.75
32820,"Memphis, TN-MS-AR",2010-01-22,154160.61
33124,"Miami-Miami Beach-Kendall, FL",2010-01-22,265539.06
33340,"Milwaukee-Waukesha-West Allis, WI",2010-01-22,197411.67
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",2010-01-22,231591.16
33874,"Montgomery County-Bucks County-Chester County, PA",2010-01-22,277089.78
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",2010-01-22,153815.8
35004,"Nassau County-Suffolk County, NY",2010-01-22,763484.88
35084,"Newark, NJ-PA",2010-01-22,357706.44
35300,"New Haven-Milford, CT",2010-01-22,283452.28
